num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,kurtosis_mean,kurtosis_std
2,1.1741693084000189,0.23210500623890198,0.0268399001999569,0.01731137505778079,-0.8550505180175962,0.1971908698383556
3,1.0530459583999572,0.12806425726717435,0.012002875000007407,0.012202478447208514,-0.42324481349210236,0.12678244697629756
4,1.0169877333999693,0.053015221797934144,0.021049249999987297,0.018817746681321985,-0.7444733378058763,0.10179849925000255
5,1.1834193917999756,0.05519292123253246,0.0037936584000135554,0.0025008171703771284,-0.473563894918552,0.13167041844803223
6,1.467988817000014,0.25714721554355674,0.00369863340001757,0.0016396038629096213,-0.15068503415192008,0.13999563683024974
7,4.75474792499997,3.4413236669485676,0.003961549800010289,0.0018323906234511973,0.18978530982070013,0.08695294333013423
8,6.9469650584000195,3.166148498595998,0.004889641599993411,0.003096207696996548,0.17323248258966523,0.13791291302859895
9,7.3665636999999835,5.1341696502434715,0.0039034334000234592,0.0020177476330503906,0.5475416447927934,0.12729555374440868
10,29.22382579179998,10.750185506791206,0.017547616799993192,0.01153678499789367,1.0338079840717107,0.15880948391099206
11,54.42868195800006,11.350213117944874,0.01924073340005634,0.00743103481321721,1.1801669157367949,0.2457237963275777
12,76.64165150859999,49.38055030024061,0.014987283200116507,0.011617123488597267,1.433390279930144,0.24122471859887837
13,52.53213336640001,1.5030767981979392,0.017244441599996208,0.008199010168389557,1.758165667548706,0.41622239303671626
14,88.16404792540015,6.047557699583543,0.03806530000010753,0.012691154265802036,1.726664306905605,0.3657691031798914
15,94.3643759833999,3.7015649716511527,0.028763183199953347,0.006783882714760365,2.002127642157118,0.37220543029402814
