training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,reconstruction_error_mean,reconstruction_error_std,num_components,accuracy_mean,accuracy_std
1.2642816959999437,0.6614695705195371,0.14529104180010108,0.04005110505496801,1.3717510220707356e-09,1.8840399590313474e-09,2.0,0.42681992337164754,0.005847010545215635
0.9127125791998878,0.32509345480755014,0.1275169313999868,0.05310445030943802,5.703327955710543e-09,5.365579768071605e-09,3.0,0.4441890166028097,0.013109197875204438
1.1323101952001706,0.4852293912545831,0.1467059399999016,0.06111553293316465,1.2637221253807666e-08,7.385479132925305e-09,4.0,0.46002554278416347,0.013331278008377929
1.2654572745999757,0.33414748494678,0.15566085379996367,0.04037400630895554,2.772690304996202e-08,1.909356503241362e-08,5.0,0.46692209450830136,0.01695471445749792
1.0531854075999945,0.4485971969998371,0.14286150740008452,0.07751724999028625,5.416913539980453e-08,3.168303573299325e-08,6.0,0.45721583652618125,0.016395204634361407
1.0059517344001505,0.31071774336371244,0.11640497139997023,0.0435913630160819,9.90912071150346e-08,6.553714191714719e-08,7.0,0.46641123882503194,0.009672590666033964
1.0376013576001242,0.3839640950607155,0.15526569339981505,0.0550713076530561,1.5780080299911548e-07,9.80070686727854e-08,8.0,0.46692209450830136,0.01956317153396333
11.111602535999918,1.8700306903207566,0.14635526120009673,0.03812041849083475,2.4916996527655735e-07,1.2970094678187363e-07,9.0,0.47305236270753515,0.017447797045147456
11.386679536800056,3.240366290420506,0.11375880799987499,0.03775534854758761,3.6958128107408096e-07,1.653054701816672e-07,10.0,0.47381864623243936,0.0147176094926058
10.294957820000036,1.4840675273552333,0.345802478800033,0.07786737293729452,5.249182416185823e-07,2.0650939883537206e-07,11.0,0.47509578544061304,0.013443368957283023
