num_components,bic_mean,aic_mean,bic_std,aic_std
1,12246.41283400309,11830.800595767738,43.2469130907327,43.2469130907327
2,9919.18892848132,9082.566890475091,142.45820692263734,142.45820692263734
3,9555.43657287221,8297.804735095104,135.97972955892655,135.97972955892652
4,9007.621604350787,7328.979966802805,43.94135367229025,43.94135367229051
5,9374.092561141611,7274.441123822755,442.6334540346477,442.63345403464757
6,9418.853152749358,6898.191915659626,76.76298525324746,76.76298525324785
7,9777.542052764991,6835.871015904383,227.83960138760833,227.83960138760824
8,10219.276283410616,6856.595446779131,190.68716594575469,190.68716594575469
9,10690.973385589416,6907.282749187055,25.220060825398768,25.22006082539951
10,11245.224297115754,7040.523860942517,140.90351659863634,140.90351659863634
11,11630.809208426408,7005.098972482297,242.11467870795767,242.11467870795767
12,12402.989443231281,7356.269407516294,397.0120944560036,397.01209445600347
13,12842.67544282051,7374.945607334645,281.0120633330617,281.0120633330617
14,13579.10351485306,7690.36387959632,229.18082624111835,229.18082624111835
15,13982.715648687954,7672.966213660337,393.2971832540444,393.29718325404417
16,14606.082154720001,7875.322919921506,349.2028192002518,349.2028192002517
17,15272.842835343952,8121.073800774583,363.6454202672179,363.6454202672179
18,15683.92158685066,8111.142752510415,281.6180835711324,281.618083571132
19,16151.109628355718,8157.3209942445965,188.9111853078769,188.9111853078769
20,16955.61261203852,8540.814178156523,150.80053405726673,150.80053405726727
