training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,accuracy_mean,accuracy_std,kurtosis_mean,kurtosis_std,num_components
0.2875609953333272,0.0245894126243778,0.0063077923332457,0.0011742038329103,0.7913165266106442,0.1574524342416968,-0.861186645188741,0.2595721483822746,2.0
0.3651302853331799,0.0736325566147306,0.0046712786667436,0.0018577734323918,0.876750700280112,0.0660833784820904,-0.4686535386223793,0.4590427488802795,3.0
0.3106583379999392,0.0314677941468336,0.0034296499999679,0.0010908319674568,0.919967987194878,0.033959422984037,-0.427249946640256,0.7423014684782483,4.0
0.337602414666738,0.0792368539848472,0.005226743333272,0.0019722729447461,0.933373349339736,0.0263969188803073,-0.2800293670650066,0.7030211286362902,5.0
0.3224261603334828,0.0630444492338827,0.0076172293333911,0.0046415897720279,0.9459783913565426,0.0259008991721385,-0.1994260293181641,0.822678370523174,6.0
0.6040725046665708,0.3093018781934111,0.0035485193332836,0.0010498665269781,0.9565826330532212,0.0205157658881289,0.1235259053477278,0.9944053255127324,7.0
0.8458383063333107,0.4088785907944648,0.003626843333374,0.0007766444560904,0.9605842336934776,0.0177000164502572,0.2319385957910068,0.9153762805836818,8.0
1.6455017930000695,0.9789450526771968,0.0032182346665952,0.0002347306634463,0.9659863945578232,0.0162126567265969,0.4828145920482487,1.2978409002858131,9.0
1.565647917000054,0.8867241426360214,0.0053847663334636,0.0025131837805658,0.9727891156462584,0.0104003132599976,0.7092309215074842,1.3218812587474569,10.0
1.653715541666467,0.9811660124052498,0.0034585076667402,0.0003592635591287,0.973389355742297,0.0103540208346823,0.8916323248745052,1.389290795837595,11.0
2.116724976999952,1.2933088953985856,0.0041465953333196,0.0010550884322534,0.9759903961584634,0.0110787260503458,1.1812095549391577,1.570546020207292,12.0
2.029117575666684,1.1385894457854877,0.0032653833333521,0.0002373844901499,0.9751900760304122,0.0117656586058336,1.339121323573932,1.5918939329813837,13.0
3.539884139333329,0.3314986221778709,0.0036034686666729,0.0001272075082956,0.9799919967987196,0.0071414839125949,1.459058091626885,1.746923139730781,14.0
3.6453907026664942,0.2155765319672165,0.0033408083333294,0.0001315141745043,0.9801920768307324,0.0072195352351615,1.59312391485384,1.7176210310807245,15.0
3.0536221290000563,1.3687357583054154,0.0042372960000041,0.0001716535334635,0.97859143657463,0.0079831682045858,1.8307042043826929,1.7333936714046911,16.0
3.819239763666701,0.0591813516696175,0.0038684303332653,0.0003334011555553,0.9777911164465786,0.0091557112354121,2.082701790709534,1.6704194790317124,17.0
4.9851110226668425,0.9288901464617648,0.0040746963333428,0.0005355308995525,0.977390956382553,0.011049780929559,2.125982855299936,1.7561091127459671,18.0
3.900241677333421,1.015945746419322,0.0168262466665207,0.0145450512271648,0.9793917567026812,0.0079681103448338,2.246735608496588,1.7645124123445404,19.0
5.532765356000103,0.0773292016181089,0.0067754879999786,0.002642219851698,0.9797919167667066,0.005722428829962,2.3619891558714574,1.8115938877965247,20.0
0.8782184790000732,0.2615833058131657,0.0074918549998983,0.002808375054273,0.9853941576630652,0.0026992272035278,3.969122684433572,1.8805831955543688,30.0
1.5186540450004031,0.1971190067107436,0.0121004576664442,0.0030564120991657,0.9795918367346936,0.0049009398615109,4.7000380298290745,2.28760132976658,40.0
6.144789220000045,5.86124315267391,0.0104335239999879,0.0025241621068256,0.9715886354541816,0.008058035440417,5.174962393510229,2.6494030580198453,50.0
2.3978895570001746,0.4288119959827864,0.008536314333468908,0.0022977914354382948,0.9395758303321329,0.0020404239750271207,5.805431231036475,3.249834958026837,60.0
17.087528650667082,9.694574969128979,0.005710904333075935,0.0006345283546392872,0.9133653461384554,0.004281899671675219,6.435542823843193,4.13217825551132,70.0
12.36798471899965,12.487777478355735,0.009414008333199794,0.0027837454377947846,0.8915566226490595,0.006470973040734795,7.529615030950775,5.582657036448382,80.0
