num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,calinski_harabasz_score_mean,calinski_harabasz_score_std,davies_bouldin_score_mean,davies_bouldin_score_std,adjusted_rand_score_mean,adjusted_rand_score_std,adjusted_mutual_info_score_mean,adjusted_mutual_info_score_std,homogeneity_score_mean,homogeneity_score_std,completeness_score_mean,completeness_score_std,silhouette_score_mean,silhouette_score_std
2,0.7079877453972585,0.044574765868976206,0.0014212626032531262,0.0009358408759661225,184.76665092187085,15.71840122057753,1.7668961783729813,0.07987130848409803,0.426164861589222,0.025855472312023026,0.47961993135666436,0.012533496271043722,0.39023617643633146,0.010611247256921832,0.6254947276030773,0.016493829690014422,0.23797962604719575,0.013517473261494757
4,0.710087041996303,0.03953512892836006,0.0014470835973042994,0.0009046431723795073,140.8989514172076,7.971339285779026,1.651600691053806,0.028932705818787277,0.6696126319517826,0.018059603571333686,0.6896440891615834,0.013031542058355248,0.7747125924178692,0.015165953172277303,0.623484006698525,0.011446392721133493,0.20235242632905215,0.009049936933102437
6,0.7195291695999912,0.06170815966797783,0.0013103232049616054,0.0007670130476902194,118.02844243191355,6.3369407198314365,1.907908385457576,0.036565384484958476,0.48984789491019143,0.010823506718443452,0.6252240274967364,0.010667210503865045,0.8224703894421852,0.014008211831790098,0.5071489644931825,0.008579543264158601,0.20289577055643765,0.007580414464649367
8,0.7739175751979929,0.030264484484915876,0.0012068759999237955,0.0005298598340855483,102.751259925878,4.917926816074746,1.7446166955775808,0.05174677386424968,0.41080350319372394,0.021480514853538076,0.5954886495870556,0.016646060505949037,0.8592120565957531,0.019711968368762867,0.4592107541522964,0.013856947970572851,0.18980368553354285,0.016491670748786748
10,0.8379725884064101,0.04463329860298273,0.0005935622000833973,0.00019528633929471033,91.47223326285075,4.854287940204905,1.784088467606693,0.05393166330178284,0.3478093497945677,0.010327775897876791,0.5700240603419805,0.010496861954075206,0.8806124817069059,0.014906747035816825,0.4256719350083763,0.0080425098345262,0.18721019842281214,0.008970588451881846
12,0.8224675037985435,0.024972994290091536,0.0005990787991322577,0.00012734143458718013,81.85796214388408,3.8987487223750636,1.8453131898001467,0.04843108369879341,0.30809479149055374,0.009847306392334557,0.5540477901868182,0.007282117493202822,0.8998282725642246,0.011416444594565691,0.40519347581721404,0.005461728282085806,0.18539597453991208,0.007212820724437819
14,0.8269424625963439,0.019493478775152905,0.0006608119991142302,0.00018001454145576067,75.32152863389891,4.098321991911142,1.7970824698169992,0.03835828521359662,0.2594533201989475,0.00745910539321614,0.5285172746573705,0.0076406158932271154,0.9006571759653674,0.011433755139392448,0.3796702376317821,0.0056545583151718405,0.1659466381869859,0.007558895561452347
16,0.815488861198537,0.049213408151296094,0.0007010566012468189,0.00018782615426781842,69.07120970657611,3.8734568684611905,1.810359273243548,0.02154833439669449,0.23922691805565438,0.006908890563619942,0.5184150663297982,0.005134231490605136,0.9126557103946575,0.007750194492190197,0.3683799088224463,0.0038422459598339807,0.16228403492511134,0.009945262828509376
18,0.8570779588015285,0.06152204451089944,0.0005034545960370451,6.0338943272507125e-05,63.89585167177519,3.320524348028689,1.814357752413261,0.03204558576048599,0.22132753819360113,0.012624150409832145,0.5086448856792624,0.01398581037928389,0.9214926971446887,0.021584831564848507,0.3582943629468286,0.010107689987557478,0.15371755587280864,0.010552726659675946
20,0.8688523908058414,0.044202400633368076,0.00045085420133545996,6.889974041228726e-05,60.29544648598712,3.312306281820961,1.8419131097458898,0.019839973345925566,0.20233992824193664,0.01533745162390385,0.4966391789025385,0.011359479112204241,0.9246418212682981,0.015897679925535722,0.3472125881167723,0.008508559344663836,0.14706585912635145,0.007880099411686808
25,0.8450909086037427,0.01642027807639705,0.00046080140164121984,6.330699621123626e-05,51.921786188111604,3.045623394855953,1.864393187918827,0.017508972741906707,0.17120966917865843,0.007063029303403713,0.4749411291728414,0.008316459368817778,0.9327813343290987,0.01536483133968596,0.3280324382479316,0.005634314576840535,0.13621134004184984,0.010267354735641318
50,0.842816285401932,0.019092330823820412,0.0005520309990970418,4.446392395370639e-05,33.890065652599205,1.8574665791872607,1.7799535256259247,0.029480479590781136,0.09040696969330676,0.004100974545959989,0.4079923177218377,0.0065682166971619904,0.9566659605466199,0.013477431622582834,0.2773075845446401,0.004392567220408929,0.1066106090692378,0.004365440342104199
75,1.257429460401181,0.05825149597173048,0.0006132495967904106,7.636804709478109e-05,26.450701958560707,1.9447964013053145,1.7124710001487053,0.055216555169420284,0.06952839927798074,0.004841747607141551,0.37354532921304395,0.003601554732060453,0.9683058917501064,0.006604442930852607,0.25841172024550685,0.002658587424933259,0.08664552778603052,0.009239928196314723
100,1.2288788649981144,0.08503680843249199,0.0014313965977635235,0.000377043866343408,22.450659643584167,1.2228508955930986,1.6273793306183553,0.020106696333790322,0.05570537560262765,0.003697007946123339,0.34437959963492715,0.004220940452086568,0.9688867593981761,0.005917681508674847,0.2446334633747076,0.002797654733931116,0.06907273854819554,0.003636954193206439
195,1.782333708400256,0.058172353851078606,0.0012948225950822235,0.0006734438032378464,17.40480019702223,0.9324216380919946,1.3022699881750315,0.03974253271047832,0.03204111765458527,0.0020987538861769266,0.27941093527674093,0.004974930080031321,0.9807233158806102,0.00819785574574873,0.2211626576931757,0.0026130559254214946,0.039887120780167123,0.008125795533436102
