num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,calinski_harabasz_score_mean,calinski_harabasz_score_std,davies_bouldin_score_mean,davies_bouldin_score_std,adjusted_rand_score_mean,adjusted_rand_score_std,adjusted_mutual_info_score_mean,adjusted_mutual_info_score_std,homogeneity_score_mean,homogeneity_score_std,completeness_score_mean,completeness_score_std,silhouette_score_mean,silhouette_score_std,aic_mean,aic_std,bic_mean,bic_std
2,0.3321766394044971,0.07345784110300742,0.00043826480105053635,1.620990471511272e-05,13.802502979570836,11.915874827885538,5.314180799542612,1.466830005092132,0.019054426079983554,0.007782573790996133,0.04481836046058685,0.009848136477809865,0.03141128573071457,0.00693321150151087,0.10964956059573414,0.018129532759999067,0.09484315775115675,0.030233158040840022,4566.297006309522,259.9417291473723,5289.082574188095,259.9417291473723
3,0.6982127564027906,0.14160737259540446,0.0007669620012165978,0.00024703328089840297,61.72439433414367,33.55125200435033,6.847684204843011,4.958186367750307,0.02253931697853754,0.008088584444695113,0.03992966682887991,0.01158085784625987,0.039745258469616025,0.009792981549504875,0.05425312480074107,0.013908481562261186,-0.002818469972636476,0.048727329208376156,4147.349442392324,285.97460346661313,5233.859360558181,285.9746034666132
4,0.5963274249981623,0.08323784373455907,0.000998529401840642,0.0003440256443160029,68.74755301961468,17.4655241102215,4.942539300989978,0.4863585261592342,0.021371558307884928,0.007426507737655654,0.03742419038440953,0.01629554264252324,0.044188473638499974,0.01629583651977269,0.04652300349465207,0.016103709226444145,-0.04253570707487024,0.015763038316249898,3979.741577692306,199.17741066986864,5429.975846145446,199.17741066986852
5,1.0340804360021139,0.1707130387828831,0.0010830626008100808,0.0005825771803647144,75.18480356225461,13.146800738859291,7.09262332919491,1.8131501194736064,0.030049108148221648,0.007846168619201828,0.05883557593241828,0.013893553530244566,0.07205357139566573,0.015641638240889103,0.06489562980915703,0.012654094849796486,-0.039920636973587574,0.017197747834747982,3795.8535641125054,256.5245329726045,5609.812182852927,256.52453297260445
6,1.1241741520003417,0.14129984298974413,0.0009043377998750657,8.880242656817489e-05,66.36452862347973,10.230488606713608,6.692466456541365,1.6227873618409239,0.0332457385864803,0.012107234659894522,0.052761949117593875,0.011213724043665984,0.07037189438010949,0.01369044031669609,0.0578119257838299,0.009858451963439924,-0.07038145157937628,0.017744158799100483,3878.8024749301358,291.24777999396537,6056.485443957841,291.2477799939652
7,1.4407999397983076,0.4407797073726812,0.0010056748025817797,7.06655972722108e-05,56.111483988526594,7.849941408974309,6.856770230339966,1.6225841014667735,0.0321024445303811,0.01135301128777743,0.05514273512467026,0.015408986002792358,0.07712088719200863,0.01741144579499698,0.06032836258748695,0.013925122521689473,-0.11868838884189414,0.03650859309379332,3916.884618627667,320.99706786319297,6458.291937942655,320.9970678631928
8,1.527150074596284,0.47682896306237893,0.0011642142024356871,0.0002644679208162586,54.907188959638745,4.9594412749385315,7.125547720800879,1.2985327543353435,0.027712289248919046,0.003316280709807941,0.05124692625214675,0.007207675133657132,0.07598925499292035,0.011588804624516252,0.055696896584900624,0.005388600690025565,-0.10991581163633055,0.024439866729688155,4006.578651648436,269.89683099817535,6911.710321250706,269.89683099817535
9,1.8544452755973908,0.3397558511803096,0.0017423705983674153,0.0012244970496608522,57.28318017334482,6.457253041877705,7.065587611310221,0.8951628706478496,0.025370157005521875,0.009197271364060677,0.05116900023079585,0.01227805731042178,0.08031061715051097,0.015522678860543307,0.05531024315609083,0.011100449499955483,-0.16060877437288923,0.025225980425646416,4114.728849006574,213.8014697084795,7383.584868896127,213.80146970847963
10,1.823385528603103,0.2523189762808224,0.0016297622030833736,0.0008674958742075936,53.89523007645656,8.275386103799717,6.644034925321431,0.6851505558713126,0.02706654346547498,0.00970791674591894,0.053939943819786174,0.016556549963807173,0.08308105138111835,0.0195976437184219,0.05808984012283123,0.014772871105590836,-0.13857505597315928,0.02335589221684566,4252.337754114348,237.31510902377153,7884.918124291183,237.31510902377187
11,2.400714181398507,0.4582060518470947,0.001533623001887463,0.00030019658412361945,50.39895399069809,2.6559882862376663,6.319402244526872,0.7992124613988598,0.023111112087390508,0.0051895859851646756,0.05284472224173463,0.007613082902379505,0.08793306273247377,0.01081998468399344,0.057375409790220225,0.0061045808999884215,-0.21181120356373878,0.03639140190519904,4341.967048880372,211.3838246019697,8338.27176934449,211.38382460196985
12,2.669889277400216,0.5053139047469802,0.0018185811961302534,0.0007182494644160658,46.207319202819846,4.448400635551514,6.962600617156115,0.8996720986876704,0.028656503847636995,0.008181895945089139,0.06206579449501872,0.010447257802776898,0.10461118376093415,0.014714427486944102,0.06440881576690491,0.007892839881446206,-0.20869351034350697,0.017558756873791992,4450.277053399582,277.76372239771894,8810.306124150982,277.76372239771894
13,2.949348198005464,0.3148924885309509,0.0015603371983161196,2.288626065577592e-05,45.54310662758557,7.3514839594114765,7.698579320400009,2.2539437598140264,0.021649253518576102,0.007598728904179522,0.052050435311470675,0.00966836159314802,0.09320183742401314,0.014960825052412951,0.05687359536778115,0.007794611325579368,-0.24858953312747994,0.05058179349594722,4651.1902900800815,287.28913982192086,9374.943711118765,287.2891398219206
14,3.4125031145988034,0.972413431631699,0.002701229602098465,0.001315258718564505,42.462155191455544,9.391404111667166,6.8343793067379135,1.793004642853841,0.02190837584140965,0.006650924469210121,0.05413627056261426,0.013705328209948622,0.09772110272462904,0.016912893521094662,0.05932006558927581,0.011117709900706214,-0.2681158295635251,0.06678354535802966,4753.624226044345,294.2945401149436,9841.10199737031,294.2945401149431
15,2.7846880455996144,0.8791350259035968,0.002016211795853451,0.0001970186691537796,45.768292100426706,9.491142951102534,5.62165128776825,0.761053144113397,0.025655279226722366,0.01063028149719757,0.053824260896627105,0.0105529043183214,0.10049781689821839,0.015544150557190356,0.05931841875424456,0.008469874435136892,-0.318247544275071,0.07876314129025866,4949.670994125514,304.87614599443845,10400.873115738763,304.8761459944385
16,1.826326151797548,0.2770868511178422,0.0018959367997013032,7.31341928992329e-05,37.23826958237163,1.6346841717029907,6.661401166978903,1.218671011486766,0.01972307199057284,0.007535427532589823,0.05472268494363265,0.010640005929249704,0.10631420611620987,0.013662933946720862,0.06063335673869834,0.009367302760525453,-0.2916928807617366,0.034328900793636694,5084.402801216854,302.8963100158239,10899.329273117384,302.89631001582427
17,1.9837117281975225,0.550049705079995,0.002019497600849718,9.609603249169946e-05,44.3503297308527,5.215314455228486,5.797080885343755,0.8422743255169628,0.018028204648897896,0.003879527294199051,0.04633243498683544,0.005053171698230408,0.09719642730363327,0.008627821934391992,0.054002583883061464,0.0036619611905634166,-0.2880182280700544,0.07291008172993226,5274.477764526324,304.6457976264755,11453.128586714138,304.6457976264753
18,2.04030226720497,0.1664872974290653,0.0021940153965260834,0.00010380347778594663,42.18059145550383,5.361130719063066,6.550875785293161,0.8944427329028121,0.019335014036001175,0.008697516185276737,0.052858612404620454,0.009094003590686644,0.10831645702762394,0.01220514745423706,0.05902931827817106,0.006485334578775351,-0.2847461602757869,0.026320818155353462,5439.44821697574,395.061622461595,11981.823389450836,395.061622461595
19,1.9000923978019273,0.30127306629206024,0.002673335000872612,0.0008913960975928794,43.001772492613576,8.460411917036257,6.012171120053961,1.0074669752274314,0.019155231399498707,0.0053390751045381156,0.0499179245029578,0.012395309545094553,0.10454739606602603,0.016246575928923278,0.058212026929836166,0.010053492317311357,-0.3171036218617385,0.048168837529751235,5621.9973231924005,370.2726505867068,12528.096845954778,370.2726505867064
20,2.115401480800938,0.12622544756010398,0.0030240011983551085,0.0009237120368228172,44.68927070440834,4.03402333442571,5.162010856440913,0.6093688669984262,0.01851734223091378,0.005216712419029746,0.05075899076668069,0.005195720126723828,0.1088209415938999,0.008419924377498061,0.05913264019378321,0.004453416897844113,-0.34145846782587624,0.060457501390135705,5747.092577904536,376.8420156661825,13016.916450954199,376.8420156661823
