num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,mse_mean,mse_std,reconstruction_error_mean,reconstruction_error_std
2.0,0.48999320459988666,0.08874561055292225,0.07267312099938864,0.001172063762970216,0.8143607208741306,0.04835724040670046,1.3717533736186818e-09,1.884042551589145e-09
3.0,0.3950503257998207,0.011717256289995374,0.07192744280000625,0.0003088976144290348,0.7596707818930041,0.04429203919378991,5.7033071698580705e-09,5.365588677844922e-09
4.0,0.44226355440041515,0.03863542982168318,0.07439257859987265,0.003173651170636994,0.7452816801475806,0.0438788830231903,1.2996923915459853e-08,7.09307016220519e-09
5.0,0.4627579277999757,0.13682111521674645,0.07532772599988675,0.003224555643753672,0.7426706399886476,0.021415920388141253,2.855237307713268e-08,1.8289424473227327e-08
6.0,0.46239997140037303,0.08359715516109324,0.07060841560014523,0.0024829610993998977,0.7298992479069107,0.029649060349396465,5.125978348167036e-08,3.3761777888165456e-08
7.0,0.40442835620015105,0.04073681881607506,0.07402379660015868,0.00554218811154878,0.7569745991201929,0.033697740426912225,9.758847978433555e-08,6.674752160971396e-08
8.0,0.4281335573999968,0.048011003788321814,0.07587525399976584,0.004180695918474809,0.7423584504044274,0.028946624424870462,1.6071993620412544e-07,9.581668563426825e-08
9.0,5.123290677800469,0.15610838274711877,0.08239533039995876,0.008642471366956606,0.719710515112814,0.03779490337549724,2.4916996527655735e-07,1.2970094678187363e-07
10.0,5.228892504200121,0.6327337379834944,0.07692514059999667,0.007333384932834617,0.7224350787569177,0.052778425319143715,3.6958128107408096e-07,1.653054701816672e-07
11.0,3.499104296199948,0.49750816193350333,0.07694124439985899,0.0037606518498398116,0.7135518660422874,0.046939987799705166,5.249182416185823e-07,2.0650939883537206e-07
