num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,mse_mean,mse_std
2.0,0.000638450201950036,0.0005049206020101233,9.675819892436266e-05,7.713704237933163e-05,0.7986377181779479,0.033135563620128296
3.0,0.00033509999339003115,5.1340152782437383e-05,7.877499738242477e-05,3.8448588168308256e-05,0.7731516957570597,0.04725492626942169
4.0,0.00036176659923512486,0.00010987571606443924,5.7466598809696735e-05,2.440601086361052e-06,0.6971477224350787,0.04897698068253601
5.0,0.00042005839641205965,0.0001486091951612903,6.604980153497308e-05,1.4196383939154476e-05,0.6994465730097914,0.03905315141702124
6.0,0.0005852080008480698,0.0002453263531609056,7.149179873522371e-05,1.3257196814294499e-05,0.6993898112672059,0.03937272863395941
7.0,0.0004978915967512876,0.0001718228842683396,6.549179961439222e-05,2.602903817075787e-06,0.6993046686533277,0.039761590552348965
8.0,0.01329562480095774,0.00805156237470907,0.0009227163973264396,0.0011133188352626827,0.6985951468710089,0.03966748398720464
9.0,0.007039349799742922,0.001617915019496501,0.00038592499331571164,0.0002895707200323334,0.6999290478217681,0.03948222941796229
10.0,0.0046619250002549965,0.0034725614604349513,0.0001250833971425891,0.00010601272467472359,0.6996736199801334,0.03924004171323998
11.0,0.0017901915940456091,0.0014770139958409111,6.70747976982966e-05,1.715111165445837e-05,0.6996736199801334,0.03924004171323998
1.0,0.002469174997531809,0.0020061084452102757,0.00011456659703981131,8.452418700509776e-05,0.8681708528451824,0.0343911290078734
